Location,Date,Story,Latitude,Longitude,URL
Sandwell ,"Thu, 05 Feb 2015 22:08:04 +0000","Sandwell - Five libraries saved from closure : building shares, volunteers and booksales to limit impact of £700k cut over two years.",52.514943,-2.01350083843629,"
		
		http://www.publiclibrariesnews.com/2015/02/librarianfirst.html
		
		
		
				

		
		
				
			
		
		"
Swindon ,"Thu, 05 Feb 2015 22:08:04 +0000",Swindon - £200k upgrade to computers (replacing 180 XP machines with 150 new ones). ,51.5613683,-1.7856853,"
		
		http://www.publiclibrariesnews.com/2015/02/librarianfirst.html
		
		
		
				

		
		
				
			
		
		"
Wrexham ,"Thu, 05 Feb 2015 22:08:04 +0000",Wrexham - May be managed by Life Leisure Trust (Blaenau Gwent) or the Merthyr Tydfil Leisure Trust,53.0465068,-2.9938137,"
		
		http://www.publiclibrariesnews.com/2015/02/librarianfirst.html
		
		
		
				

		
		
				
			
		
		"
Bromley ,"Sun, 08 Feb 2015 22:09:02 +0000",Bromley - Chislehurst Library site on sale from council: developer would need to build replacement. ,51.4028046,0.0148142,"
		
		http://www.publiclibrariesnews.com/2015/02/sanctuary-celebration-and-love-not-bad-people-not-bad.html
		
		
		
				

		
		
				
			
		
		"
Cardiff ,"Tue, 10 Feb 2015 21:03:59 +0000",Cardiff – All 7 threatened libraries will stay open after public campaign.  Alternatives being looked into.,51.4835299,-3.1836873,"
		
		http://www.publiclibrariesnews.com/2015/02/glory-days.html
		
		
		
				

		
		
				
			
		
		"
West Dunbartonshire ,"Tue, 10 Feb 2015 21:03:59 +0000","West Dunbartonshire - Closure plans shelved after consultation. £500k to refurbish Clydesbank Library, £20k for public WC in Balloch Library.",55.966667,-4.533333,"
		
		http://www.publiclibrariesnews.com/2015/02/glory-days.html
		
		
		
				

		
		
				
			
		
		"
Hampshire ,"Tue, 10 Feb 2015 21:03:59 +0000",Hampshire - Kingsclere Library to be run by 25 volunteers with parish council and charitable support.,51.083333,-1.166667,"
		
		http://www.publiclibrariesnews.com/2015/02/glory-days.html
		
		
		
				

		
		
				
			
		
		"
Hertfordshire ,"Tue, 10 Feb 2015 21:03:59 +0000","Hertfordshire - 8 out of 17 previously planned as being unstaffed will have some element of paid staffing: Bovingdon, Chorleywood, Goffs Oak, Kings Langley, London Colney, Sawbridgeworth and Woodhall will retain an element of paid staff. Buntingdon to have paid staff (volunteer assisted).",51.8400523,-0.0978551422452396,"
		
		http://www.publiclibrariesnews.com/2015/02/glory-days.html
		
		
		
				

		
		
				
			
		
		"
Walsall ,"Tue, 10 Feb 2015 21:03:59 +0000","Walsall - Closure of five libraries (Pheasey, Beechdale, Walsall Wood, Walsall South and Streetly) deferred for three months until July. Rushall, New Invention and Blakenall will close at some point later than July. ",52.60524495,-1.97042166214852,"
		
		http://www.publiclibrariesnews.com/2015/02/glory-days.html
		
		
		
				

		
		
				
			
		
		"
Hertfordshire ,"Mon, 16 Feb 2015 10:22:58 +0000",Hertfordshire - £1m per year cut. ,51.8400523,-0.0978551422452396,"
		
		http://www.publiclibrariesnews.com/2015/02/a-week-of-public-library-news.html
		
		
		
				

		
		
				
			
		
		"
Staffordshire ,"Mon, 16 Feb 2015 10:22:58 +0000",Staffordshire - Barton under Needwood Library will become volunteer.,52.8247017,-2.00744916467769,"
		
		http://www.publiclibrariesnews.com/2015/02/a-week-of-public-library-news.html
		
		
		
				

		
		
				
			
		
		"
Powys ,"Mon, 16 Feb 2015 10:22:58 +0000",Powys – 20% cut in opening hours. Mobile libraries will move from fortnightly to four-weekly stops. ,52.32640015,-3.35657906912162,"
		
		http://www.publiclibrariesnews.com/2015/02/a-week-of-public-library-news.html
		
		
		
				

		
		
				
			
		
		"
Staffordshire ,"Mon, 16 Feb 2015 10:22:58 +0000",Staffordshire - Burton under Needwood Library will become volunteer.,52.8247017,-2.00744916467769,"
		
		http://www.publiclibrariesnews.com/2015/02/a-week-of-public-library-news.html
		
		
		
				

		
		
				
			
		
		"
Stoke on Trent ,"Mon, 16 Feb 2015 10:22:58 +0000","Stoke on Trent - Ten volunteer libraries opened in recent years in Ball Green Methodist Church, Swan Bank Methodist Church, Burslem, Blurton Hub, Haywood Engineering Academy, Fenton Hub, St John’s Welcome Church in Abbey Hulton, Whitfield Valley Community Centre, Wallace Sport and Education Centre, Northwood Stadium and Trentham Mews Medical Centre.",53.0162014,-2.1812607,"
		
		http://www.publiclibrariesnews.com/2015/02/a-week-of-public-library-news.html
		
		
		
				

		
		
				
			
		
		"
Hertfordshire ,"Tue, 17 Feb 2015 21:19:46 +0000","Hertfordshire - (Clarification from council) – £2.5 million cut in library service per year expected to be reached by third year (£1m cut each Year 1 and Year 2, £500k cut Year 3).",51.8400523,-0.0978551422452396,"
		
		http://www.publiclibrariesnews.com/2015/02/necessity-is-the-mother-of-invention-libraries-in-2015.html
		
		
		
				

		
		
				
			
		
		"
Northern Ireland ,"Sun, 22 Feb 2015 21:02:30 +0000",Northern Ireland - £2.4m cut. Opening hours reduced. Consultation until April 17th. ,54.65688285,-6.5634352096912,"
		
		http://www.publiclibrariesnews.com/2015/02/being-open-about-weeding.html
		
		
		
				

		
		
				
			
		
		"
Bristol ,"Tue, 24 Feb 2015 21:59:56 +0000","Bristol - 7 (out of 27) libraries may close: Clifton, Eastville, Marksbury Road, Redland, Sea Mills, Westbury, Wick Road. £1.1m cut, 12 week consultation.",51.453493,-2.5973937,"
		
		http://www.publiclibrariesnews.com/2015/02/a-home-for-the-homeless.html
		
		
		
				

		
		
				
			
		
		"
Gateshead ,"Tue, 24 Feb 2015 21:59:56 +0000","Gateshead - Reduced opening hours at Felling, Chopwell (may move to primary school), Rowlands Gill, Wreckenton (may move to community centre and be managed by housing company), Dunston (6 months &#34;lifeline&#34;, looking at community transfer to volunteers), Pelaw (12 months until it needs to be volunteer run). ",54.9585535,-1.6057003,"
		
		http://www.publiclibrariesnews.com/2015/02/a-home-for-the-homeless.html
		
		
		
				

		
		
				
			
		
		"
Halton ,"Tue, 24 Feb 2015 21:59:56 +0000",Halton - Mobile library to close 28th March,53.35385255,-2.74281921954739,"
		
		http://www.publiclibrariesnews.com/2015/02/a-home-for-the-homeless.html
		
		
		
				

		
		
				
			
		
		"
Peterborough ,"Tue, 24 Feb 2015 21:59:56 +0000","Peterborough - £305k cut p.a. (previously reported as £1.5m cut), increased opening hours due to self-service machines, staffed hours reduced from 261 to 149.",52.5738875,-0.2416701,"
		
		http://www.publiclibrariesnews.com/2015/02/a-home-for-the-homeless.html
		
		
		
				

		
		
				
			
		
		"
Hartlepool ,"Thu, 26 Feb 2015 22:17:23 +0000","Hartlepool - Cuts to library budget inc. possibility of opening hour cuts, volunteers, income generation.",54.6957009,-1.2003161,"
		
		http://www.publiclibrariesnews.com/2015/02/cuts-ideas-and-appeals.html
		
		
		
				

		
		
				
			
		
		"
Thurrock ,"Thu, 26 Feb 2015 22:17:23 +0000",Thurrock - No libraries (apart from mobile library) to close in £500k cut.  New library to open at Purlfleet. ,51.5080169,0.396281764543767,"
		
		http://www.publiclibrariesnews.com/2015/02/cuts-ideas-and-appeals.html
		
		
		
				

		
		
				
			
		
		"
Fife ,"Sun, 01 Mar 2015 21:27:12 +0000",Fife - Cuts to libraries expected.,56.3333331,-3.0000001,"
		
		http://www.publiclibrariesnews.com/2015/03/a-weekend-of-library-news.html
		
		
		
				

		
		
				
			
		
		"
Islington ,"Sun, 01 Mar 2015 21:27:12 +0000",Islington - Libraries &#34;safe for now&#34; ,51.5344951,-0.1051635,"
		
		http://www.publiclibrariesnews.com/2015/03/a-weekend-of-library-news.html
		
		
		
				

		
		
				
			
		
		"
Buckinghamshire ,"Sun, 08 Mar 2015 20:47:06 +0000",Buckinghamshire - £270k cut. Opening hours to be reduced. ,51.75,-0.75,"
		
		http://www.publiclibrariesnews.com/2015/03/libraries-on-the-edge-some-great-ideas.html
		
		
		
				

		
		
				
			
		
		"
Cambridgeshire ,"Sun, 08 Mar 2015 20:47:06 +0000","Cambridgeshire - £600k enterprise centre to be put into Cambridge Central, in partnership with private company Kora: council and Kora will invest £300k Each. ",52.333333,0.083333,"
		
		http://www.publiclibrariesnews.com/2015/03/libraries-on-the-edge-some-great-ideas.html
		
		
		
				

		
		
				
			
		
		"
Somerset ,"Sun, 08 Mar 2015 20:47:06 +0000",Somerset - £472k cut. To install free wifi. Extra £10k for outreach / RVS Books on Wheels. Music CD lending to be phased out. Fewer mobile library stops. ,51.083333,-3,"
		
		http://www.publiclibrariesnews.com/2015/03/libraries-on-the-edge-some-great-ideas.html
		
		
		
				

		
		
				
			
		
		"
Camden ,"Sun, 08 Mar 2015 20:47:06 +0000",Camden - Room hire charges greatly increased. ,51.5392776,-0.1432419,"
		
		http://www.publiclibrariesnews.com/2015/03/libraries-on-the-edge-some-great-ideas.html
		
		
		
				

		
		
				
			
		
		"
Isle of Wight ,"Sun, 08 Mar 2015 20:47:06 +0000","Isle of Wight - Headquarters store will move into Lord Louis Library, halving public space and losing the reading room.",50.6710482,-1.33271101331995,"
		
		http://www.publiclibrariesnews.com/2015/03/libraries-on-the-edge-some-great-ideas.html
		
		
		
				

		
		
				
			
		
		"
Thurrock ,"Sun, 08 Mar 2015 20:47:06 +0000","Thurrock - Volunteers may replace paid staff at Blackshots, Chadwell St Mary, Corringham and Stanford-le-Hope. Thameside Library may move into Civic Offices. ",51.5080169,0.396281764543767,"
		
		http://www.publiclibrariesnews.com/2015/03/libraries-on-the-edge-some-great-ideas.html
		
		
		
				

		
		
				
			
		
		"
Northern Ireland ,"Sun, 08 Mar 2015 20:47:06 +0000",Northern Ireland - BookStart programme no longer funded by Northern Ireland. ,54.65688285,-6.5634352096912,"
		
		http://www.publiclibrariesnews.com/2015/03/libraries-on-the-edge-some-great-ideas.html
		
		
		
				

		
		
				
			
		
		"
Poole ,"Sun, 08 Mar 2015 20:47:06 +0000",Poole - Bearwood Community Library in community centre opens March 2015. ,50.74033995,-1.95361915693821,"
		
		http://www.publiclibrariesnews.com/2015/03/libraries-on-the-edge-some-great-ideas.html
		
		
		
				

		
		
				
			
		
		"
West Lothian ,"Sun, 08 Mar 2015 20:47:06 +0000",West Lothian – Mobile library service to end. ,55.916667,-3.5,"
		
		http://www.publiclibrariesnews.com/2015/03/libraries-on-the-edge-some-great-ideas.html
		
		
		
				

		
		
				
			
		
		"
Herefordshire ,"Tue, 10 Mar 2015 21:36:30 +0000","Herefordshire - Ledbury Library reopens in Master’s House, £2.9m move from old library. ",52.083333,-2.75,"
		
		http://www.publiclibrariesnews.com/2015/03/ed-vaizey-there-appear-to-be-no-grounds-on-which-he-would-intervene-in-libraries.html
		
		
		
				

		
		
				
			
		
		"
Medway ,"Tue, 10 Mar 2015 21:36:30 +0000",Medway - Strood Library reopens in co-located community hub. ,51.4157386,0.568730851240833,"
		
		http://www.publiclibrariesnews.com/2015/03/ed-vaizey-there-appear-to-be-no-grounds-on-which-he-would-intervene-in-libraries.html
		
		
		
				

		
		
				
			
		
		"
Devon ,"Thu, 12 Mar 2015 21:40:34 +0000",Devon - Confirmed that libraries will be run as a mutual trust. ,50.75,-3.75,"
		
		http://www.publiclibrariesnews.com/2015/03/ook-sir-terry-pratchett-obe-1948-2015.html
		
		
		
				

		
		
				
			
		
		"
Glasgow ,"Thu, 12 Mar 2015 21:40:34 +0000",Glasgow - Review launched. ,55.861147,-4.2499891,"
		
		http://www.publiclibrariesnews.com/2015/03/ook-sir-terry-pratchett-obe-1948-2015.html
		
		
		
				

		
		
				
			
		
		"
Harrow ,"Thu, 12 Mar 2015 21:40:34 +0000","Harrow - Confirmed that 4 libraries (Bob Lawrence, Hatch End, North Harrow and Rayners Lane) will close.",51.581091,-0.337475,"
		
		http://www.publiclibrariesnews.com/2015/03/ook-sir-terry-pratchett-obe-1948-2015.html
		
		
		
				

		
		
				
			
		
		"
Cardiff ,"Mon, 16 Mar 2015 00:01:16 +0000",Cardiff - Rhymney Library will move into youth centre. ,51.4835299,-3.1836873,"
		
		http://www.publiclibrariesnews.com/2015/03/be-the-king-of-one-thing-dont-jack-it-all-in-lessons-from-columbus-ohio.html
		
		
		
				

		
		
				
			
		
		"
East Renfrewshire ,"Mon, 16 Mar 2015 00:01:16 +0000",East Renfrewshire - Confirmed that libraries will go into leisure trust. ,55.75,-4.333333,"
		
		http://www.publiclibrariesnews.com/2015/03/be-the-king-of-one-thing-dont-jack-it-all-in-lessons-from-columbus-ohio.html
		
		
		
				

		
		
				
			
		
		"
Southampton ,"Mon, 16 Mar 2015 00:01:16 +0000",Southampton – Interlending service finished. ,50.9025349,-1.404189,"
		
		http://www.publiclibrariesnews.com/2015/03/be-the-king-of-one-thing-dont-jack-it-all-in-lessons-from-columbus-ohio.html
		
		
		
				

		
		
				
			
		
		"
Bristol ,"Tue, 17 Mar 2015 22:24:21 +0000",Bristol - No closures until at least April 1st 2016: volunteers may take over threatened libraries. ,51.453493,-2.5973937,"
		
		http://www.publiclibrariesnews.com/2015/03/task-forces-and-tardises.html
		
		
		
				

		
		
				
			
		
		"
Solihull ,"Tue, 17 Mar 2015 22:24:21 +0000",Solihull – Dickens Heath Library may move to another location.  Review of service. ,52.4130189,-1.7768935,"
		
		http://www.publiclibrariesnews.com/2015/03/task-forces-and-tardises.html
		
		
		
				

		
		
				
			
		
		"
Trafford ,"Tue, 17 Mar 2015 22:24:21 +0000",Trafford - Hale Library will either be redeveloped into (i) a smaller library + houses (ii) new library elsewhere or (iii) selling/temporary library until new Altrincham Library in 2017. ,53.4189014,-2.35946945066462,"
		
		http://www.publiclibrariesnews.com/2015/03/task-forces-and-tardises.html
		
		
		
				

		
		
				
			
		
		"
Flintshire ,"Thu, 19 Mar 2015 20:48:10 +0000","Flintshire - Hawarden, Mancot and Queensferry libraries may close: to be replaced by one collocated at Deeside Leisure Centre. Saltney, Hope and Mynydd may close or pass to volunteers.  (counted as 5 under threat).",53.2173046,-3.14131466709273,"
		
		http://www.publiclibrariesnews.com/2015/03/7-4m-for-wifi-success-in-the-arts.html
		
		
		
				

		
		
				
			
		
		"
Hartlepool ,"Thu, 19 Mar 2015 20:48:10 +0000","Hartlepool - 16% cut in funding since 2013, further cuts soon: consultation.",54.6957009,-1.2003161,"
		
		http://www.publiclibrariesnews.com/2015/03/7-4m-for-wifi-success-in-the-arts.html
		
		
		
				

		
		
				
			
		
		"
Northamptonshire ,"Thu, 19 Mar 2015 20:48:10 +0000",Northamptonshire – Funding for Business and IP Centre from DCLG. Towcester Library will move into new building in April. ,52.25,-0.833333,"
		
		http://www.publiclibrariesnews.com/2015/03/7-4m-for-wifi-success-in-the-arts.html
		
		
		
				

		
		
				
			
		
		"
Herefordshire ,"Thu, 26 Mar 2015 21:18:33 +0000",Herefordshire – Kington Library turned into &#34;wellbeing centre&#34;.,52.083333,-2.75,"
		
		http://www.publiclibrariesnews.com/2015/03/shropshire-22-out-of-28-to-be-community-run-ace-research.html
		
		
		
				

		
		
				
			
		
		"
Kent ,"Thu, 26 Mar 2015 21:18:33 +0000",Kent - Reservations of all items within county to be free from 1st April (currently 35p). ,51.2474823,0.7105077,"
		
		http://www.publiclibrariesnews.com/2015/03/shropshire-22-out-of-28-to-be-community-run-ace-research.html
		
		
		
				

		
		
				
			
		
		"
Manchester ,"Thu, 26 Mar 2015 21:18:33 +0000","Manchester – £250k given by Wolfson Foundation to improve children’s libraries in Wythenshawe Forum Library, Withington Library, Longsight Library, Gorton Library, Newton Heath Library and North City Library in Harpurhey. Library in Hulme High Street opens in leisure centre in partnership with GLL. £45k from DCLG to boost Business and IP Centre at Central Library.",53.4791466,-2.2447445,"
		
		http://www.publiclibrariesnews.com/2015/03/shropshire-22-out-of-28-to-be-community-run-ace-research.html
		
		
		
				

		
		
				
			
		
		"
Shropshire ,"Thu, 26 Mar 2015 21:18:33 +0000",Shropshire - 22 out of 28 libraries to be passed to community groups. ,52.6523129,-2.6437490954116,"
		
		http://www.publiclibrariesnews.com/2015/03/shropshire-22-out-of-28-to-be-community-run-ace-research.html
		
		
		
				

		
		
				
			
		
		"
Bexley ,"Sun, 29 Mar 2015 20:22:31 +0000","Bexley - &#34;Soft market testing&#34; in order to outsource libraries, in partnership with Bromley.",51.4406754,0.1509119,"
		
		http://www.publiclibrariesnews.com/2015/03/getting-it-loud.html
		
		
		
				

		
		
				
			
		
		"
Birmingham ,"Sun, 29 Mar 2015 20:22:31 +0000",Birmingham – Staff co-operative likely to be agreed soon for 39 branch libraries. ,52.4813679,-1.8980726,"
		
		http://www.publiclibrariesnews.com/2015/03/getting-it-loud.html
		
		
		
				

		
		
				
			
		
		"
Wakefield ,"Tue, 24 Mar 2015 21:12:44 +0000",Wakefield - Sandal Library refurbished.,53.6825669,-1.5000466,"
		
		http://www.publiclibrariesnews.com/2015/03/a-noble-librarian-faced-with-adversity-triumphs.html
		
		
		
				

		
		
				
			
		
		"
Bromley ,"Sun, 29 Mar 2015 20:22:31 +0000","Bromley - &#34;Soft market testing&#34; in order to outsource libraries, in partnership with Bexley.",51.4028046,0.0148142,"
		
		http://www.publiclibrariesnews.com/2015/03/getting-it-loud.html
		
		
		
				

		
		
				
			
		
		"
Hertfordshire ,"Tue, 31 Mar 2015 21:07:18 +0000",Hertfordshire – Knebworth Library may merge with doctor’s surgery.,51.8400523,-0.0978551422452396,"
		
		http://www.publiclibrariesnews.com/2015/03/2000-fewer-libraries-ed-vaizey-again-decides-not-to-intervene.html
		
		
		
				

		
		
				
			
		
		"
Newport ,"Tue, 31 Mar 2015 21:07:18 +0000",Newport - Malpas Library reduced to 20 hours opening per week subject to consultation (alternative was closure). ,51.5882332,-2.9974967,"
		
		http://www.publiclibrariesnews.com/2015/03/2000-fewer-libraries-ed-vaizey-again-decides-not-to-intervene.html
		
		
		
				

		
		
				
			
		
		"
Dorset ,"Thu, 09 Apr 2015 20:51:53 +0000",Dorset - Volunteers to handle police enquiry counters in libraries.,50.75,-2.333333,"
		
		http://www.publiclibrariesnews.com/2015/04/subsidy-loss-read-on-get-on.html
		
		
		
				

		
		
				
			
		
		"
Lincolnshire ,"Mon, 06 Apr 2015 20:37:06 +0000",Lincolnshire - Skegness Library to have 5 hours per week longer opening hours.,53.166667,-0.25,"
		
		http://www.publiclibrariesnews.com/2015/04/dont-look-at-the-man-behind-the-curtain.html
		
		
		
				

		
		
				
			
		
		"
Middlesborough ,"Thu, 09 Apr 2015 20:51:53 +0000",Middlesborough - Libraries to be renamed &#34;hubs&#34; and take on public health role e.g. preschool and anti-smoking.,51.6101055,-0.0610962,"
		
		http://www.publiclibrariesnews.com/2015/04/subsidy-loss-read-on-get-on.html
		
		
		
				

		
		
				
			
		
		"
Merthyr Tydfil ,"Mon, 06 Apr 2015 20:37:06 +0000",Merthyr Tydfil – Libraries formally handed over to Merthry Tydfil Leisure Trust. ,51.7490624,-3.3786183,"
		
		http://www.publiclibrariesnews.com/2015/04/dont-look-at-the-man-behind-the-curtain.html
		
		
		
				

		
		
				
			
		
		"
